,state,x,y
0,Alabama,139,-77
1,Arizona,-203,-40
2,Arkansas,57,-53
3,Colorado,-112,20
4,Connecticut,297,96
5,Delaware,275,42
6,Georgia,182,-75
7,Idaho,-216,122
8,Illinois,95,37
9,Iowa,38,65
10,Kansas,-17,5
11,Kentucky,149,1
12,Louisiana,59,-114
13,Maine,319,164
14,Maryland,288,27
15,Michigan,148,101
16,Minnesota,23,135
17,Mississippi,94,-78
18,Missouri,49,6
19,Montana,-141,150
20,Nebraska,-61,66
21,Nevada,-257,56
22,New Hampshire,302,127
23,New Mexico,-128,-43
24,North Carolina,239,-22
25,Oklahoma,-8,-41
26,Oregon,-278,138
27,Rhode Island,318,94
28,South Carolina,218,-51
29,Tennessee,131,-34
30,Utah,-189,34
31,Vermont,282,154
32,Virginia,234,12
33,West Virginia,200,20
34,Wisconsin,83,113
35,Wyoming,-134,90
